(0, 0);(-50, 0);(50, 0);(0, -50);(0, 50);(-55, -5);(-52, 6);(-42, -5);(-40, 8);(42, 8);(57, 6);(62, 1);(58, -2);(41, -7);(-8, -58);(0, -58);(8, -58);(-8, 58);(0, 58);(8, 58);
0,-50|0,-50|0,-50;
0,-50|0,50|0,-50;0,0;0,50;
0,-50|-55,-5|0,-50;0,0;-50,0;-55,-5;
0,-50|-52,6|0,-50;0,0;-50,0;-52,6;
0,-50|-42,-5|0,-50;0,0;-50,0;-42,-5;
0,-50|-40,8|0,-50;0,0;-50,0;-40,8;
0,-50|42,8|0,-50;0,0;50,0;42,8;
0,-50|57,6|0,-50;0,0;50,0;57,6;
0,-50|62,1|0,-50;0,0;50,0;62,1;
0,-50|58,-2|0,-50;0,0;50,0;58,-2;
0,-50|41,-7|0,-50;0,0;50,0;41,-7;
0,-50|-8,-58|0,-50;-8,-58;
0,-50|0,-58|0,-50;0,-58;
0,-50|8,-58|0,-50;8,-58;
0,-50|-8,58|0,-50;0,0;0,50;-8,58;
0,-50|0,58|0,-50;0,0;0,50;0,58;
0,-50|8,58|0,-50;0,0;0,50;8,58;
0,50|0,0|0,50;0,0;
0,50|-50,0|0,50;0,0;-50,0;
0,50|50,0|0,50;0,0;50,0;
0,50|0,-50|0,50;0,0;0,-50;
0,50|0,50|0,50;
0,50|-55,-5|0,50;0,0;-50,0;-55,-5;
0,50|-52,6|0,50;0,0;-50,0;-52,6;
0,50|-42,-5|0,50;0,0;-50,0;-42,-5;
0,50|-40,8|0,50;0,0;-50,0;-40,8;
0,50|42,8|0,50;0,0;50,0;42,8;
0,50|57,6|0,50;0,0;50,0;57,6;
0,50|62,1|0,50;0,0;50,0;62,1;
0,50|58,-2|0,50;0,0;50,0;58,-2;
0,50|41,-7|0,50;0,0;50,0;41,-7;
0,50|-8,-58|0,50;0,0;0,-50;-8,-58;
0,50|0,-58|0,50;0,0;0,-50;0,-58;
0,50|8,-58|0,50;0,0;0,-50;8,-58;
0,50|-8,58|0,50;-8,58;
0,50|0,58|0,50;0,58;
0,50|8,58|0,50;8,58;
-55,-5|0,0|-55,-5;-50,0;0,0;
-55,-5|-50,0|-55,-5;-50,0;
-55,-5|50,0|-55,-5;-50,0;0,0;50,0;
-55,-5|0,-50|-55,-5;-50,0;0,0;0,-50;
-55,-5|0,50|-55,-5;-50,0;0,0;0,50;
-55,-5|-55,-5|-55,-5;
-55,-5|-52,6|-55,-5;-50,0;-52,6;
-55,-5|-42,-5|-55,-5;-50,0;-42,-5;
-55,-5|-40,8|-55,-5;-50,0;-40,8;
-55,-5|42,8|-55,-5;-50,0;0,0;50,0;42,8;
-55,-5|57,6|-55,-5;-50,0;0,0;50,0;57,6;
-55,-5|62,1|-55,-5;-50,0;0,0;50,0;62,1;
-55,-5|58,-2|-55,-5;-50,0;0,0;50,0;58,-2;
-55,-5|41,-7|-55,-5;-50,0;0,0;50,0;41,-7;
-55,-5|-8,-58|-55,-5;-50,0;0,0;0,-50;-8,-58;
-55,-5|0,-58|-55,-5;-50,0;0,0;0,-50;0,-58;
-55,-5|8,-58|-55,-5;-50,0;0,0;0,-50;8,-58;
-55,-5|-8,58|-55,-5;-50,0;0,0;0,50;-8,58;
-55,-5|0,58|-55,-5;-50,0;0,0;0,50;0,58;
-55,-5|8,58|-55,-5;-50,0;0,0;0,50;8,58;
-52,6|0,0|-52,6;-50,0;0,0;
-52,6|-50,0|-52,6;-50,0;
-52,6|50,0|-52,6;-50,0;0,0;50,0;
-52,6|0,-50|-52,6;-50,0;0,0;0,-50;
-52,6|0,50|-52,6;-50,0;0,0;0,50;
-52,6|-55,-5|-52,6;-50,0;-55,-5;
-52,6|-52,6|-52,6;
-52,6|-42,-5|-52,6;-50,0;-42,-5;
-52,6|-40,8|-52,6;-50,0;-40,8;
-52,6|42,8|-52,6;-50,0;0,0;50,0;42,8;
-52,6|57,6|-52,6;-50,0;0,0;50,0;57,6;
-52,6|62,1|-52,6;-50,0;0,0;50,0;62,1;
-52,6|58,-2|-52,6;-50,0;0,0;50,0;58,-2;
-52,6|41,-7|-52,6;-50,0;0,0;50,0;41,-7;
-52,6|-8,-58|-52,6;-50,0;0,0;0,-50;-8,-58;
-52,6|0,-58|-52,6;-50,0;0,0;0,-50;0,-58;
-52,6|8,-58|-52,6;-50,0;0,0;0,-50;8,-58;
-52,6|-8,58|-52,6;-50,0;0,0;0,50;-8,58;
-52,6|0,58|-52,6;-50,0;0,0;0,50;0,58;
-52,6|8,58|-52,6;-50,0;0,0;0,50;8,58;
-42,-5|0,0|-42,-5;-50,0;0,0;
-42,-5|-50,0|-42,-5;-50,0;
-42,-5|50,0|-42,-5;-50,0;0,0;50,0;
-42,-5|0,-50|-42,-5;-50,0;0,0;0,-50;
-42,-5|0,50|-42,-5;-50,0;0,0;0,50;
-42,-5|-55,-5|-42,-5;-50,0;-55,-5;
-42,-5|-52,6|-42,-5;-50,0;-52,6;
-42,-5|-42,-5|-42,-5;
-42,-5|-40,8|-42,-5;-50,0;-40,8;
-42,-5|42,8|-42,-5;-50,0;0,0;50,0;42,8;
-42,-5|57,6|-42,-5;-50,0;0,0;50,0;57,6;
-42,-5|62,1|-42,-5;-50,0;0,0;50,0;62,1;
-42,-5|58,-2|-42,-5;-50,0;0,0;50,0;58,-2;
-42,-5|41,-7|-42,-5;-50,0;0,0;50,0;41,-7;
-42,-5|-8,-58|-42,-5;-50,0;0,0;0,-50;-8,-58;
-42,-5|0,-58|-42,-5;-50,0;0,0;0,-50;0,-58;
-42,-5|8,-58|-42,-5;-50,0;0,0;0,-50;8,-58;
-42,-5|-8,58|-42,-5;-50,0;0,0;0,50;-8,58;
-42,-5|0,58|-42,-5;-50,0;0,0;0,50;0,58;
-42,-5|8,58|-42,-5;-50,0;0,0;0,50;8,58;
-40,8|0,0|-40,8;-50,0;0,0;
-40,8|-50,0|-40,8;-50,0;
-40,8|50,0|-40,8;-50,0;0,0;50,0;
-40,8|0,-50|-40,8;-50,0;0,0;0,-50;
-40,8|0,50|-40,8;-50,0;0,0;0,50;
-40,8|-55,-5|-40,8;-50,0;-55,-5;
-40,8|-52,6|-40,8;-50,0;-52,6;
-40,8|-42,-5|-40,8;-50,0;-42,-5;
-40,8|-40,8|-40,8;
-40,8|42,8|-40,8;-50,0;0,0;50,0;42,8;
-40,8|57,6|-40,8;-50,0;0,0;50,0;57,6;
-40,8|62,1|-40,8;-50,0;0,0;50,0;62,1;
-40,8|58,-2|-40,8;-50,0;0,0;50,0;58,-2;
-40,8|41,-7|-40,8;-50,0;0,0;50,0;41,-7;
-40,8|-8,-58|-40,8;-50,0;0,0;0,-50;-8,-58;
-40,8|0,-58|-40,8;-50,0;0,0;0,-50;0,-58;
-40,8|8,-58|-40,8;-50,0;0,0;0,-50;8,-58;
-40,8|-8,58|-40,8;-50,0;0,0;0,50;-8,58;
-40,8|0,58|-40,8;-50,0;0,0;0,50;0,58;
-40,8|8,58|-40,8;-50,0;0,0;0,50;8,58;
42,8|0,0|42,8;50,0;0,0;
42,8|-50,0|42,8;50,0;0,0;-50,0;
42,8|50,0|42,8;50,0;
42,8|0,-50|42,8;50,0;0,0;0,-50;
42,8|0,50|42,8;50,0;0,0;0,50;
42,8|-55,-5|42,8;50,0;0,0;-50,0;-55,-5;
42,8|-52,6|42,8;50,0;0,0;-50,0;-52,6;
42,8|-42,-5|42,8;50,0;0,0;-50,0;-42,-5;
42,8|-40,8|42,8;50,0;0,0;-50,0;-40,8;
42,8|42,8|42,8;
42,8|57,6|42,8;50,0;57,6;
42,8|62,1|42,8;50,0;62,1;
42,8|58,-2|42,8;50,0;58,-2;
42,8|41,-7|42,8;50,0;41,-7;
42,8|-8,-58|42,8;50,0;0,0;0,-50;-8,-58;
42,8|0,-58|42,8;50,0;0,0;0,-50;0,-58;
42,8|8,-58|42,8;50,0;0,0;0,-50;8,-58;
42,8|-8,58|42,8;50,0;0,0;0,50;-8,58;
42,8|0,58|42,8;50,0;0,0;0,50;0,58;
42,8|8,58|42,8;50,0;0,0;0,50;8,58;
57,6|0,0|57,6;50,0;0,0;
57,6|-50,0|57,6;50,0;0,0;-50,0;
57,6|50,0|57,6;50,0;
57,6|0,-50|57,6;50,0;0,0;0,-50;
57,6|0,50|57,6;50,0;0,0;0,50;
57,6|-55,-5|57,6;50,0;0,0;-50,0;-55,-5;
57,6|-52,6|57,6;50,0;0,0;-50,0;-52,6;
57,6|-42,-5|57,6;50,0;0,0;-50,0;-42,-5;
57,6|-40,8|57,6;50,0;0,0;-50,0;-40,8;
57,6|42,8|57,6;50,0;42,8;
57,6|57,6|57,6;
57,6|62,1|57,6;50,0;62,1;
57,6|58,-2|57,6;50,0;58,-2;
57,6|41,-7|57,6;50,0;41,-7;
57,6|-8,-58|57,6;50,0;0,0;0,-50;-8,-58;
57,6|0,-58|57,6;50,0;0,0;0,-50;0,-58;
57,6|8,-58|57,6;50,0;0,0;0,-50;8,-58;
57,6|-8,58|57,6;50,0;0,0;0,50;-8,58;
57,6|0,58|57,6;50,0;0,0;0,50;0,58;
57,6|8,58|57,6;50,0;0,0;0,50;8,58;
62,1|0,0|62,1;50,0;0,0;
62,1|-50,0|62,1;50,0;0,0;-50,0;
62,1|50,0|62,1;50,0;
62,1|0,-50|62,1;50,0;0,0;0,-50;
62,1|0,50|62,1;50,0;0,0;0,50;
62,1|-55,-5|62,1;50,0;0,0;-50,0;-55,-5;
62,1|-52,6|62,1;50,0;0,0;-50,0;-52,6;
62,1|-42,-5|62,1;50,0;0,0;-50,0;-42,-5;
62,1|-40,8|62,1;50,0;0,0;-50,0;-40,8;
62,1|42,8|62,1;50,0;42,8;
62,1|57,6|62,1;50,0;57,6;
62,1|62,1|62,1;
62,1|58,-2|62,1;50,0;58,-2;
62,1|41,-7|62,1;50,0;41,-7;
62,1|-8,-58|62,1;50,0;0,0;0,-50;-8,-58;
62,1|0,-58|62,1;50,0;0,0;0,-50;0,-58;
62,1|8,-58|62,1;50,0;0,0;0,-50;8,-58;
62,1|-8,58|62,1;50,0;0,0;0,50;-8,58;
62,1|0,58|62,1;50,0;0,0;0,50;0,58;
62,1|8,58|62,1;50,0;0,0;0,50;8,58;
58,-2|0,0|58,-2;50,0;0,0;
58,-2|-50,0|58,-2;50,0;0,0;-50,0;
58,-2|50,0|58,-2;50,0;
58,-2|0,-50|58,-2;50,0;0,0;0,-50;
58,-2|0,50|58,-2;50,0;0,0;0,50;
58,-2|-55,-5|58,-2;50,0;0,0;-50,0;-55,-5;
58,-2|-52,6|58,-2;50,0;0,0;-50,0;-52,6;
58,-2|-42,-5|58,-2;50,0;0,0;-50,0;-42,-5;
58,-2|-40,8|58,-2;50,0;0,0;-50,0;-40,8;
58,-2|42,8|58,-2;50,0;42,8;
58,-2|57,6|58,-2;50,0;57,6;
58,-2|62,1|58,-2;50,0;62,1;
58,-2|58,-2|58,-2;
58,-2|41,-7|58,-2;50,0;41,-7;
58,-2|-8,-58|58,-2;50,0;0,0;0,-50;-8,-58;
58,-2|0,-58|58,-2;50,0;0,0;0,-50;0,-58;
58,-2|8,-58|58,-2;50,0;0,0;0,-50;8,-58;
58,-2|-8,58|58,-2;50,0;0,0;0,50;-8,58;
58,-2|0,58|58,-2;50,0;0,0;0,50;0,58;
58,-2|8,58|58,-2;50,0;0,0;0,50;8,58;
41,-7|0,0|41,-7;50,0;0,0;
41,-7|-50,0|41,-7;50,0;0,0;-50,0;
41,-7|50,0|41,-7;50,0;
41,-7|0,-50|41,-7;50,0;0,0;0,-50;
41,-7|0,50|41,-7;50,0;0,0;0,50;
41,-7|-55,-5|41,-7;50,0;0,0;-50,0;-55,-5;
41,-7|-52,6|41,-7;50,0;0,0;-50,0;-52,6;
41,-7|-42,-5|41,-7;50,0;0,0;-50,0;-42,-5;
41,-7|-40,8|41,-7;50,0;0,0;-50,0;-40,8;
41,-7|42,8|41,-7;50,0;42,8;
41,-7|57,6|41,-7;50,0;57,6;
41,-7|62,1|41,-7;50,0;62,1;
41,-7|58,-2|41,-7;50,0;58,-2;
41,-7|41,-7|41,-7;
41,-7|-8,-58|41,-7;50,0;0,0;0,-50;-8,-58;
41,-7|0,-58|41,-7;50,0;0,0;0,-50;0,-58;
41,-7|8,-58|41,-7;50,0;0,0;0,-50;8,-58;
41,-7|-8,58|41,-7;50,0;0,0;0,50;-8,58;
41,-7|0,58|41,-7;50,0;0,0;0,50;0,58;
41,-7|8,58|41,-7;50,0;0,0;0,50;8,58;
-8,-58|0,0|-8,-58;0,-50;0,0;
-8,-58|-50,0|-8,-58;0,-50;0,0;-50,0;
-8,-58|50,0|-8,-58;0,-50;0,0;50,0;
-8,-58|0,-50|-8,-58;0,-50;
-8,-58|0,50|-8,-58;0,-50;0,0;0,50;
-8,-58|-55,-5|-8,-58;0,-50;0,0;-50,0;-55,-5;
-8,-58|-52,6|-8,-58;0,-50;0,0;-50,0;-52,6;
-8,-58|-42,-5|-8,-58;0,-50;0,0;-50,0;-42,-5;
-8,-58|-40,8|-8,-58;0,-50;0,0;-50,0;-40,8;
-8,-58|42,8|-8,-58;0,-50;0,0;50,0;42,8;
-8,-58|57,6|-8,-58;0,-50;0,0;50,0;57,6;
-8,-58|62,1|-8,-58;0,-50;0,0;50,0;62,1;
-8,-58|58,-2|-8,-58;0,-50;0,0;50,0;58,-2;
-8,-58|41,-7|-8,-58;0,-50;0,0;50,0;41,-7;
-8,-58|-8,-58|-8,-58;
-8,-58|0,-58|-8,-58;0,-50;0,-58;
-8,-58|8,-58|-8,-58;0,-50;8,-58;
-8,-58|-8,58|-8,-58;0,-50;0,0;0,50;-8,58;
-8,-58|0,58|-8,-58;0,-50;0,0;0,50;0,58;
-8,-58|8,58|-8,-58;0,-50;0,0;0,50;8,58;
0,-58|0,0|0,-58;0,-50;0,0;
0,-58|-50,0|0,-58;0,-50;0,0;-50,0;
0,-58|50,0|0,-58;0,-50;0,0;50,0;
0,-58|0,-50|0,-58;0,-50;
0,-58|0,50|0,-58;0,-50;0,0;0,50;
0,-58|-55,-5|0,-58;0,-50;0,0;-50,0;-55,-5;
0,-58|-52,6|0,-58;0,-50;0,0;-50,0;-52,6;
0,-58|-42,-5|0,-58;0,-50;0,0;-50,0;-42,-5;
0,-58|-40,8|0,-58;0,-50;0,0;-50,0;-40,8;
0,-58|42,8|0,-58;0,-50;0,0;50,0;42,8;
0,-58|57,6|0,-58;0,-50;0,0;50,0;57,6;
0,-58|62,1|0,-58;0,-50;0,0;50,0;62,1;
0,-58|58,-2|0,-58;0,-50;0,0;50,0;58,-2;
0,-58|41,-7|0,-58;0,-50;0,0;50,0;41,-7;
0,-58|-8,-58|0,-58;0,-50;-8,-58;
0,-58|0,-58|0,-58;
0,-58|8,-58|0,-58;0,-50;8,-58;
0,-58|-8,58|0,-58;0,-50;0,0;0,50;-8,58;
0,-58|0,58|0,-58;0,-50;0,0;0,50;0,58;
0,-58|8,58|0,-58;0,-50;0,0;0,50;8,58;
8,-58|0,0|8,-58;0,-50;0,0;
8,-58|-50,0|8,-58;0,-50;0,0;-50,0;
8,-58|50,0|8,-58;0,-50;0,0;50,0;
8,-58|0,-50|8,-58;0,-50;
8,-58|0,50|8,-58;0,-50;0,0;0,50;
8,-58|-55,-5|8,-58;0,-50;0,0;-50,0;-55,-5;
8,-58|-52,6|8,-58;0,-50;0,0;-50,0;-52,6;
8,-58|-42,-5|8,-58;0,-50;0,0;-50,0;-42,-5;
8,-58|-40,8|8,-58;0,-50;0,0;-50,0;-40,8;
8,-58|42,8|8,-58;0,-50;0,0;50,0;42,8;
8,-58|57,6|8,-58;0,-50;0,0;50,0;57,6;
8,-58|62,1|8,-58;0,-50;0,0;50,0;62,1;
8,-58|58,-2|8,-58;0,-50;0,0;50,0;58,-2;
8,-58|41,-7|8,-58;0,-50;0,0;50,0;41,-7;
8,-58|-8,-58|8,-58;0,-50;-8,-58;
8,-58|0,-58|8,-58;0,-50;0,-58;
8,-58|8,-58|8,-58;
8,-58|-8,58|8,-58;0,-50;0,0;0,50;-8,58;
8,-58|0,58|8,-58;0,-50;0,0;0,50;0,58;
8,-58|8,58|8,-58;0,-50;0,0;0,50;8,58;
-8,58|0,0|-8,58;0,50;0,0;
-8,58|-50,0|-8,58;0,50;0,0;-50,0;
-8,58|50,0|-8,58;0,50;0,0;50,0;
-8,58|0,-50|-8,58;0,50;0,0;0,-50;
-8,58|0,50|-8,58;0,50;
-8,58|-55,-5|-8,58;0,50;0,0;-50,0;-55,-5;
-8,58|-52,6|-8,58;0,50;0,0;-50,0;-52,6;
-8,58|-42,-5|-8,58;0,50;0,0;-50,0;-42,-5;
-8,58|-40,8|-8,58;0,50;0,0;-50,0;-40,8;
-8,58|42,8|-8,58;0,50;0,0;50,0;42,8;
-8,58|57,6|-8,58;0,50;0,0;50,0;57,6;
-8,58|62,1|-8,58;0,50;0,0;50,0;62,1;
-8,58|58,-2|-8,58;0,50;0,0;50,0;58,-2;
-8,58|41,-7|-8,58;0,50;0,0;50,0;41,-7;
-8,58|-8,-58|-8,58;0,50;0,0;0,-50;-8,-58;
-8,58|0,-58|-8,58;0,50;0,0;0,-50;0,-58;
-8,58|8,-58|-8,58;0,50;0,0;0,-50;8,-58;
-8,58|-8,58|-8,58;
-8,58|0,58|-8,58;0,50;0,58;
-8,58|8,58|-8,58;0,50;8,58;
0,58|0,0|0,58;0,50;0,0;
0,58|-50,0|0,58;0,50;0,0;-50,0;
0,58|50,0|0,58;0,50;0,0;50,0;
0,58|0,-50|0,58;0,50;0,0;0,-50;
0,58|0,50|0,58;0,50;
0,58|-55,-5|0,58;0,50;0,0;-50,0;-55,-5;
0,58|-52,6|0,58;0,50;0,0;-50,0;-52,6;
0,58|-42,-5|0,58;0,50;0,0;-50,0;-42,-5;
0,58|-40,8|0,58;0,50;0,0;-50,0;-40,8;
0,58|42,8|0,58;0,50;0,0;50,0;42,8;
0,58|57,6|0,58;0,50;0,0;50,0;57,6;
0,58|62,1|0,58;0,50;0,0;50,0;62,1;
0,58|58,-2|0,58;0,50;0,0;50,0;58,-2;
0,58|41,-7|0,58;0,50;0,0;50,0;41,-7;
0,58|-8,-58|0,58;0,50;0,0;0,-50;-8,-58;
0,58|0,-58|0,58;0,50;0,0;0,-50;0,-58;
0,58|8,-58|0,58;0,50;0,0;0,-50;8,-58;
0,58|-8,58|0,58;0,50;-8,58;
0,58|0,58|0,58;
0,58|8,58|0,58;0,50;8,58;
8,58|0,0|8,58;0,50;0,0;
8,58|-50,0|8,58;0,50;0,0;-50,0;
8,58|50,0|8,58;0,50;0,0;50,0;
8,58|0,-50|8,58;0,50;0,0;0,-50;
8,58|0,50|8,58;0,50;
8,58|-55,-5|8,58;0,50;0,0;-50,0;-55,-5;
8,58|-52,6|8,58;0,50;0,0;-50,0;-52,6;
8,58|-42,-5|8,58;0,50;0,0;-50,0;-42,-5;
8,58|-40,8|8,58;0,50;0,0;-50,0;-40,8;
8,58|42,8|8,58;0,50;0,0;50,0;42,8;
8,58|57,6|8,58;0,50;0,0;50,0;57,6;
8,58|62,1|8,58;0,50;0,0;50,0;62,1;
8,58|58,-2|8,58;0,50;0,0;50,0;58,-2;
8,58|41,-7|8,58;0,50;0,0;50,0;41,-7;
8,58|-8,-58|8,58;0,50;0,0;0,-50;-8,-58;
8,58|0,-58|8,58;0,50;0,0;0,-50;0,-58;
8,58|8,-58|8,58;0,50;0,0;0,-50;8,-58;
8,58|-8,58|8,58;0,50;-8,58;
8,58|0,58|8,58;0,50;0,58;
8,58|8,58|8,58;
